text,valence,arousal
最近上課遇到很多問題，情緒低落,1.75,5.642857142857143
覺得需要多解釋,3.916666666666667,2.75
覺得今天上課的內容很豐富,6.75,3.0
老師的筆跡有點看不懂,3.0,2.0
觀念一直混亂，到最後都聽不懂,2.666666666666667,5.166666666666667
今天老師上課帶了一些生活中的例子，有比較好懂些,6.416666666666667,4.642857142857143
課堂上舉了很多例子，都滿生活化的很容易理解,6.666666666666667,2.083333333333333
老師講解詳細，容易明白,6.142857142857143,4.083333333333333
上的內容有些還是聽不太懂，需要多練習,3.583333333333333,2.666666666666667
不是很懂，希望幾堂課後可以正式步入軌道,4.5,3.714285714285714
今天所教的東西，我大部分都聽不太懂,3.083333333333333,3.083333333333333
很快就要期末考了，希望教授別出太難,4.583333333333333,4.75
上課很生動而且可以學到很多知識,7.428571428571429,3.333333333333333
今天比較了幾種用法，我有接觸過一些，所以比較能比較出差別,5.666666666666667,4.416666666666667
不好懂，很複雜困擾,3.416666666666667,3.333333333333333
最後給的意見就是看不出實用、沒有創意、太淺，實在令人太受傷了,1.5,6.7
老師也說得非常生動，使我獲益良多,7.428571428571429,4.642857142857143
由於今天的精神不繼，導致沒有聽到甚麼東西，覺得很可惜,2.916666666666667,4.357142857142857
今天所教的部分大致上都有辦法理解，同時也讓我知道了一些以前不知道的東西,6.571428571428571,4.285714285714286
感覺還有很多可以讓我們深入探究。,4.666666666666667,4.833333333333333
英文單字很不清楚，有點難以理解,3.125,4.0
雖然課本都是用原文，但課堂的講解都有讓我更了解一些,6.0,4.583333333333333
今天上課講的話題跟之前讀的有對應到，就不覺得生了，感覺真好。,7.357142857142857,6.333333333333333
對於作業我覺得有點困難，畢竟以前都沒碰過,3.416666666666667,3.642857142857143
老師講的棒棒，受益良多，我要加油,7.0,5.916666666666667
今天講的東西有些難懂，但經過講解後稍微解開了我一些困惑,5.166666666666667,4.583333333333333
今天上的我還可以追得上，一切都快要步入正軌,6.25,5.583333333333333
上得有點快，但是還蠻有趣的,6.0,6.0
分析得很清楚，很有幫助,7.357142857142857,3.75
上課速度跟不太上,2.857142857142857,3.583333333333333
好極速，我是說上課時間,4.083333333333333,4.714285714285714
今天精神不太好，有點想睡覺,3.583333333333333,2.285714285714286
之前有讀過一些，學到了不少,6.0,5.0
身體狀況不太好，很睏,2.5,2.25
